"","ID","CHR","MAPINFO","Strand","UCSC_RefGene_Name","UCSC_RefGene_Accession","UCSC_RefGene_Group","UCSC_CpG_Islands_Name","Relation_to_UCSC_CpG_Island","GencodeBasicV12_NAME","GencodeBasicV12_Accession","GencodeBasicV12_Group","GencodeCompV12_NAME","GencodeCompV12_Accession","GencodeCompV12_Group","DNase_Hypersensitivity_NAME","DNase_Hypersensitivity_Evidence_Count","OpenChromatin_NAME","OpenChromatin_Evidence_Count","TFBS_NAME","TFBS_Evidence_Count","Phantom4_Enhancers","Phantom5_Enhancers","custom_Name","custom_Accession","custom_Group"
"106","cg13946792","19",57337648,"F","PEG3","NM_001146186","TSS1500","","","ZIM2","ENST00000558128.1","5'UTR","PEG3","ENST00000559879.1","TSS1500","",NA,"",NA,"chr19:57322428-57338622",6,"","","PEG3","NM_001146186","TSS1500"
"107","cg03363161","3",147139184,"F","","","","chr3:147138916-147139564","Island","ZIC1","ENST00000474034.1","1stExon","ZIC1","ENST00000474034.1","1stExon","chr3:147138905-147139195",3,"",NA,"",NA,"","","ZIC1","ENST00000474034.1","1stExon"
"108","cg16032134","15",26031571,"R","ATP10A","NM_024490","Body","","","","","","","","","chr15:26031225-26031575",3,"",NA,"",NA,"","","ATP10A","NM_024490","Body"
"109","cg08533136","7",94924376,"F","PPP1R9A","NM_001166160","3'UTR","","","PPP1R9A","ENST00000433881.1","3'UTR","PPP1R9A","ENST00000433881.1","3'UTR","",NA,"",NA,"",NA,"","","PPP1R9A","NM_001166160","3'UTR"
"110","cg02924487","1",3649344,"F","TP73","NM_001126240","Body","chr1:3649294-3649674","Island","TP73","ENST00000378280.1","3'UTR","TP73","ENST00000378280.1","3'UTR","chr1:3649245-3649630",3,"",NA,"",NA,"","","TP73","NM_001126240","Body"
"111","cg18069290","12",58013539,"R","SLC26A10","NM_133489","TSS200","chr12:58013171-58013652","Island","SLC26A10","ENST00000320442.4","TSS200","SLC26A10","ENST00000440686.1","TSS1500","chr12:58013145-58014035",3,"",NA,"",NA,"","","SLC26A10","NM_133489","TSS200"
"112","cg05043657","15",27129196,"F","GABRA5","NM_001165037","Body","chr15:27128249-27128935","S_Shore","GABRA5","ENST00000557449.1","5'UTR","GABRA5","ENST00000557449.1","5'UTR","",NA,"",NA,"",NA,"","","GABRA5","NM_001165037","Body"
"113","cg04211344","11",2603221,"R","KCNQ1","NM_000218","Body","chr11:2603220-2603469","Island","","","","","","","chr11:2603200-2603575",3,"",NA,"",NA,"","","KCNQ1","NM_000218","Body"
"114","cg00289503","20",61470028,"R","COL9A3","NM_001853","Body","chr20:61471903-61472256","N_Shore","COL9A3","ENST00000537652.1","3'UTR","COL9A3","ENST00000537652.1","3'UTR","chr20:61469900-61470135",3,"",NA,"",NA,"","","COL9A3","NM_001853","Body"
"115","cg24645149","1",3159083,"F","PRDM16","NM_022114","Body","chr1:3157509-3158300","S_Shore","PRDM16","ENST00000512462.1","5'UTR","PRDM16","ENST00000512462.1","5'UTR","",NA,"chr1:3157045-3160630",6,"",NA,"","","PRDM16","NM_022114","Body"
"116","cg17489908","10",8101566,"F","GATA3","NM_001002295","Body","chr10:8100384-8100768","S_Shore","GATA3","ENST00000461472.1","5'UTR","GATA3","ENST00000461472.1","5'UTR","chr10:8100520-8101750",3,"",NA,"",NA,"","","GATA3","NM_001002295","Body"
"117","cg24850219","1",2337563,"F","PEX10","NM_002617","Body","chr1:2339876-2340246","N_Shelf","","","","","","","chr1:2337200-2337695",3,"",NA,"",NA,"","","PEX10","NM_002617","Body"
"118","cg26464934","11",2189562,"R","TH","NM_199292","Body","chr11:2187488-2188245","S_Shore","","","","TH","ENST00000324155.4","3'UTR","chr11:2189245-2190155",3,"",NA,"",NA,"","","TH","NM_199292","Body"
"119","cg05862114","7",130132259,"R","MEST","NM_177524","5'UTR","chr7:130130739-130133111","Island","MEST","ENST00000341441.4","5'UTR","MEST","ENST00000341441.4","5'UTR","chr7:130131605-130132355",3,"",NA,"",NA,"","","MEST","NM_177524","5'UTR"
"120","cg15862215","2",63277010,"R","OTX1","NM_014562","TSS1500","chr2:63274475-63279430","Island","AC009501.4","ENST00000413549.1","TSS1500","AC009501.4","ENST00000413549.1","TSS1500","chr2:63276825-63279575",3,"",NA,"",NA,"","","OTX1","NM_014562","TSS1500"
"121","cg01378667","15",27111911,"R","GABRA5","NM_000810","5'UTR","chr15:27112030-27113479","N_Shore","GABRA5","ENST00000400081.3","TSS1500","GABRA5","ENST00000555182.1","TSS1500","chr15:27111465-27111950",3,"",NA,"",NA,"","","GABRA5","NM_000810","5'UTR"
"122","cg07220650","1",2336575,"R","PEX10","NM_002617","3'UTR","chr1:2339876-2340246","N_Shelf","PEX10","ENST00000288774.3","3'UTR","PEX10","ENST00000288774.3","3'UTR","",NA,"chr1:2335476-2336887",6,"chr1:2330778-2351383",6,"","","PEX10","NM_002617","3'UTR"
"123","cg15389589","12",57600444,"R","LRP1","NM_002332","Body","chr12:57596968-57597309","S_Shelf","","","","LRP1","ENST00000556356.1","5'UTR","",NA,"chr12:57576572-57600697",6,"",NA,"","","LRP1","NM_002332","Body"
"124","cg26938272","21",38070671,"F","SIM2","NM_005069","TSS1500","chr21:38068193-38073891","Island","SIM2","ENST00000460783.1","TSS1500","SIM2","ENST00000460783.1","TSS1500","chr21:38069505-38072575",3,"",NA,"",NA,"","","SIM2","NM_005069","TSS1500"
"125","cg04316231","1",3083535,"R","PRDM16","NM_022114","Body","chr1:3080934-3081292","S_Shelf","","","","","","","chr1:3083505-3084190",3,"",NA,"",NA,"","","PRDM16","NM_022114","Body"
"126","cg12645202","11",32442615,"F","WT1","NM_001198552","Body","","","","","","","","","chr11:32442285-32443015",3,"",NA,"",NA,"","","WT1","NM_001198552","Body"
"127","cg10969621","1",214713994,"F","PTPN14","NM_005401","5'UTR","","","PTPN14","ENST00000491277.1","3'UTR","PTPN14","ENST00000491277.1","3'UTR","",NA,"",NA,"",NA,"","","PTPN14","NM_005401","5'UTR"
"128","cg04117801","17",46651867,"R","HOXB3","NM_002146","TSS200","chr17:46654053-46654369","N_Shelf","HOXB3","ENST00000465120.3","5'UTR","HOXB3","ENST00000465120.3","5'UTR","",NA,"chr17:46651542-46661059",6,"chr17:46649740-46661506",6,"","","HOXB3","NM_002146","TSS200"
"129","cg01428437","1",1852164,"R","TMEM52","NM_178545","TSS1500","chr1:1850098-1851391","S_Shore","TMEM52","ENST00000470931.1","TSS1500","TMEM52","ENST00000470931.1","TSS1500","chr1:1851345-1852475",3,"",NA,"",NA,"","","TMEM52","NM_178545","TSS1500"
"130","cg19043863","12",22005314,"R","ABCC9","NM_005691","ExonBnd","","","ABCC9","ENST00000261200.4","ExonBnd","ABCC9","ENST00000261200.4","ExonBnd","chr12:22005240-22005470",3,"",NA,"",NA,"","","ABCC9","NM_005691","ExonBnd"
"131","cg12989128","20",42875933,"R","GDAP1L1","NM_024034","5'UTR","chr20:42875764-42876184","Island","GDAP1L1","ENST00000372952.3","TSS200","GDAP1L1","ENST00000445952.1","TSS1500","chr20:42875765-42876435",3,"",NA,"",NA,"high-CpG:42309319-42309374","","GDAP1L1","NM_024034","5'UTR"
"132","cg04457979","11",2890647,"R","KCNQ1DN","NR_024627","TSS1500","chr11:2890388-2891337","Island","KCNQ1DN","ENST00000441418.2","TSS1500","KCNQ1DN","ENST00000441418.2","TSS1500","chr11:2890565-2890835",3,"",NA,"",NA,"","","KCNQ1DN","NR_024627","TSS1500"
"133","cg03384175","7",94286343,"R","SGCE","NM_001099401","TSS1500","chr7:94284858-94286527","Island","SGCE","ENST00000428696.2","TSS1500","SGCE","ENST00000428696.2","TSS1500","chr7:94286080-94286610",3,"",NA,"",NA,"","","SGCE","NM_001099401","TSS1500"
"134","cg01955745","11",131240413,"F","NTM","NM_001048209","1stExon","","","NTM","ENST00000539799.1","TSS1500","NTM","ENST00000539799.1","TSS1500","chr11:131240320-131240575",3,"",NA,"",NA,"","","NTM","NM_001048209","1stExon"
"135","cg12139902","11",132188543,"F","NTM","NM_001048209","Body","","","NTM","ENST00000474900.1","5'UTR","NTM","ENST00000496094.1","5'UTR","chr11:132188365-132188615",3,"",NA,"",NA,"","","NTM","NM_001048209","Body"
"136","cg02086046","7",150776474,"F","FASTK","NM_033015","Body","chr7:150777607-150780879","N_Shore","FASTK","ENST00000489884.1","3'UTR","FASTK","ENST00000489884.1","3'UTR","",NA,"",NA,"chr7:150770785-150781293",6,"","","FASTK","NM_033015","Body"
"137","cg23528037","17",7758581,"R","TMEM88","NM_203411","1stExon","chr17:7758607-7758980","N_Shore","TMEM88","ENST00000301599.6","1stExon","TMEM88","ENST00000301599.6","1stExon","chr17:7758145-7758690",3,"",NA,"",NA,"","","TMEM88","NM_203411","1stExon"
"138","cg08832603","7",96652481,"F","DLX5","NM_005221","Body","chr7:96653467-96654199","N_Shore","DLX5","ENST00000493764.1","3'UTR","DLX5","ENST00000493764.1","3'UTR","chr7:96651220-96652595",3,"",NA,"",NA,"","","DLX5","NM_005221","Body"
"139","cg27623562","11",2968676,"F","NAP1L4","NM_005969","3'UTR","chr11:2965785-2966102","S_Shelf","NAP1L4","ENST00000380542.4","3'UTR","NAP1L4","ENST00000380542.4","3'UTR","",NA,"",NA,"chr11:2958396-2972205",6,"","","NAP1L4","NM_005969","3'UTR"
"140","cg02611863","20",42143096,"R","L3MBTL","NM_032107","5'UTR","chr20:42143210-42143591","N_Shore","L3MBTL1","ENST00000373134.1","TSS200","L3MBTL1","ENST00000473981.1","TSS1500","chr20:42142625-42143155",3,"",NA,"",NA,"","","L3MBTL","NM_032107","5'UTR"
"141","cg06837799","7",27160960,"F","HOXA3","NM_153631","5'UTR","chr7:27162087-27162426","N_Shore","HOXA-AS2","ENST00000522193.1","5'UTR","HOXA-AS2","ENST00000522193.1","5'UTR","chr7:27160885-27161055",3,"",NA,"",NA,"","","HOXA3","NM_153631","5'UTR"
"142","cg03174521","11",3177865,"F","OSBPL5","NM_020896","5'UTR","chr11:3181574-3182120","N_Shelf","OSBPL5","ENST00000389989.3","5'UTR","OSBPL5","ENST00000534157.1","5'UTR","chr11:3177820-3178030",3,"",NA,"",NA,"","","OSBPL5","NM_020896","5'UTR"
"143","cg19480724","7",27285831,"F","EVX1","NM_001989","Body","chr7:27284639-27286237","Island","RP1-170O19.16","ENST00000517726.1","3'UTR","RP1-170O19.16","ENST00000517726.1","3'UTR","chr7:27285280-27286035",3,"",NA,"",NA,"","","EVX1","NM_001989","Body"
"144","cg06743811","15",23931451,"R","NDN","NM_002487","1stExon","chr15:23931559-23932547","N_Shore","NDN","ENST00000331837.4","1stExon","NDN","ENST00000331837.4","1stExon","chr15:23931125-23931515",3,"",NA,"",NA,"","","NDN","NM_002487","1stExon"
"145","cg10020373","2",63277944,"F","OTX1","NM_014562","TSS200","chr2:63274475-63279430","Island","OTX1","ENST00000366671.3","5'UTR","OTX1","ENST00000366671.3","5'UTR","chr2:63276825-63279575",3,"",NA,"",NA,"high-CpG:63131302-63131499","","OTX1","NM_014562","TSS200"
"146","cg03632036","2",207076401,"R","GPR1","NM_001261455","5'UTR","","","GPR1","ENST00000437420.1","5'UTR","GPR1","ENST00000442134.1","5'UTR","",NA,"",NA,"chr2:207075943-207078539",6,"","","GPR1","NM_001261455","5'UTR"
"147","cg26777118","6",160497102,"R","IGF2R","NM_000876","Body","","","","","","","","","",NA,"chr6:160497063-160497359",3,"",NA,"","","IGF2R","NM_000876","Body"
"148","cg06263372","18",34850864,"R","BRUNOL4","NM_001025088","Body","chr18:34854247-34855163","N_Shelf","CELF4","ENST00000361795.3","ExonBnd","CELF4","ENST00000412753.1","ExonBnd","",NA,"",NA,"chr18:34848902-34851168",6,"","","BRUNOL4","NM_001025088","Body"
"149","cg08970226","19",31840740,"F","TSHZ3","NM_020856","TSS1500","chr19:31839635-31843049","Island","TSHZ3","ENST00000240587.4","TSS1500","TSHZ3","ENST00000558569.1","TSS1500","chr19:31839440-31840810",3,"",NA,"",NA,"","","TSHZ3","NM_020856","TSS1500"
"150","cg20052865","14",101416128,"F","SNORD114-1","NR_003193","TSS200","","","SNORD114-1","ENST00000362705.1","TSS200","SNORD114-1","ENST00000362705.1","TSS200","",NA,"chr14:101415551-101416206",4,"",NA,"","","SNORD114-1","NR_003193","TSS200"
"151","cg08447658","4",1339912,"R","KIAA1530","NM_020894","TSS1500","chr4:1340107-1341471","N_Shore","KIAA1530","ENST00000296312.5","TSS1500","KIAA1530","ENST00000296312.5","TSS1500","chr4:1339405-1340595",3,"",NA,"",NA,"","chr4:1339592-1339592","KIAA1530","NM_020894","TSS1500"
"152","cg10054256","9",4152723,"R","GLIS3","NM_152629","TSS1500","","","GLIS3","ENST00000324333.10","TSS1500","GLIS3","ENST00000324333.10","TSS1500","",NA,"",NA,"",NA,"","","GLIS3","NM_152629","TSS1500"
"153","cg01176141","11",70023032,"F","ANO1","NM_018043","Body","chr11:70023057-70023304","N_Shore","ANO1","ENST00000525494.1","5'UTR","ANO1","ENST00000529636.1","5'UTR","chr11:70022925-70023415",3,"",NA,"",NA,"","","ANO1","NM_018043","Body"
"154","cg25053252","17",7589358,"R","TP53","NM_000546","5'UTR","chr17:7589290-7589503","Island","WRAP53","ENST00000316024.5","TSS1500","WRAP53","ENST00000316024.5","TSS1500","chr17:7589305-7590075",3,"",NA,"",NA,"","","TP53","NM_000546","5'UTR"
"155","cg11706865","19",34122807,"F","CHST8","NM_001127895","5'UTR","","","CHST8","ENST00000434302.1","5'UTR","CHST8","ENST00000434302.1","5'UTR","chr19:34122525-34122875",3,"",NA,"",NA,"","","CHST8","NM_001127895","5'UTR"
"156","cg21397287","8",1653215,"R","DLGAP2","NM_004745","3'UTR","chr8:1649439-1649759","S_Shelf","DLGAP2","ENST00000356067.4","3'UTR","DLGAP2","ENST00000356067.4","3'UTR","",NA,"",NA,"",NA,"","","DLGAP2","NM_004745","3'UTR"
"157","cg21474786","17",46631948,"R","HOXB3","NM_002146","5'UTR","chr17:46631800-46632212","Island","HOXB3","ENST00000470495.1","TSS1500","HOXB3","ENST00000471459.1","5'UTR","chr17:46631765-46632655",3,"",NA,"",NA,"","","HOXB3","NM_002146","5'UTR"
"158","cg13408752","8",1575750,"F","DLGAP2","NM_004745","Body","chr8:1579038-1579241","N_Shelf","","","","","","","",NA,"",NA,"",NA,"","","DLGAP2","NM_004745","Body"
"159","cg00463767","2",63282043,"R","OTX1","NM_014562","Body","chr2:63282514-63283122","N_Shore","","","","OTX1","ENST00000405984.4","3'UTR","chr2:63281680-63283510",3,"",NA,"",NA,"","","OTX1","NM_014562","Body"
"160","cg21696393","16",1030401,"F","SOX8","NM_014587","TSS1500","chr16:1029878-1035327","Island","RP11-161M6.2","ENST00000562570.1","3'UTR","RP11-161M6.2","ENST00000562570.1","3'UTR","chr16:1029825-1030695",3,"",NA,"",NA,"","","SOX8","NM_014587","TSS1500"
"161","cg02317400","10",135050345,"F","VENTX","NM_014468","TSS1500","chr10:135048797-135052077","Island","VENTX","ENST00000325980.8","TSS1500","VENTX","ENST00000325980.8","TSS1500","chr10:135050225-135050815",3,"",NA,"",NA,"","","VENTX","NM_014468","TSS1500"
"162","cg23278235","12",133101168,"F","FBRSL1","NM_001142641","Body","chr12:133102168-133102604","N_Shore","","","","","","","chr12:133101025-133101310",3,"",NA,"",NA,"","","FBRSL1","NM_001142641","Body"
"163","cg06700166","5",19473185,"F","CDH18","NM_004934","3'UTR","","","CDH18","ENST00000510297.1","3'UTR","CDH18","ENST00000510297.1","3'UTR","",NA,"",NA,"",NA,"","","CDH18","NM_004934","3'UTR"
"164","cg25258098","11",396794,"F","PKP3","NM_007183","Body","chr11:396685-397462","Island","PKP3","ENST00000530695.1","5'UTR","PKP3","ENST00000533249.1","5'UTR","chr11:395825-396935",3,"",NA,"",NA,"","","PKP3","NM_007183","Body"
"165","cg02136066","6",32363084,"R","BTNL2","NM_019602","Body","","","","","","BTNL2","ENST00000454136.2","3'UTR","",NA,"",NA,"",NA,"","","BTNL2","NM_019602","Body"
"166","cg17986444","20",57414745,"F","GNAS","NM_016592","TSS200","chr20:57414595-57414896","Island","GNAS","ENST00000313949.7","TSS200","GNAS","ENST00000453292.1","TSS1500","chr20:57414560-57415175",3,"",NA,"",NA,"high-CpG:56848127-56848197","","GNAS","NM_016592","TSS200"
"167","cg00063699","1",214624242,"F","PTPN14","NM_005401","Body","","","","","","","","","",NA,"",NA,"",NA,"","","PTPN14","NM_005401","Body"
"168","cg02647941","3",147127143,"F","ZIC1","NM_003412","TSS200","chr3:147126988-147128999","Island","ZIC1","ENST00000282928.4","TSS200","ZIC1","ENST00000282928.4","TSS200","chr3:147126905-147127275",3,"",NA,"",NA,"","","ZIC1","NM_003412","TSS200"
"169","cg17627328","5",5146343,"F","ADAMTS16","NM_139056","Body","","","CTD-2297D10.1","ENST00000514848.1","3'UTR","CTD-2297D10.1","ENST00000514848.1","3'UTR","chr5:5146120-5146515",3,"",NA,"",NA,"","","ADAMTS16","NM_139056","Body"
"170","cg10399789","1",92945668,"F","GFI1","NM_001127215","Body","chr1:92945907-92952609","N_Shore","","","","","","","chr1:92945445-92946035",3,"",NA,"",NA,"","","GFI1","NM_001127215","Body"
"171","cg11734845","8",1553864,"F","DLGAP2","NM_004745","Body","","","RP11-666I19.2","ENST00000518063.1","3'UTR","RP11-666I19.2","ENST00000518063.1","3'UTR","chr8:1553745-1554075",3,"",NA,"",NA,"","","DLGAP2","NM_004745","Body"
"172","cg16107740","20",36156622,"R","BLCAP","NM_001167820","TSS1500","chr20:36156022-36156669","Island","BLCAP","ENST00000397135.1","TSS1500","BLCAP","ENST00000397135.1","TSS1500","chr20:36155785-36156690",3,"",NA,"",NA,"","","BLCAP","NM_001167820","TSS1500"
"173","cg16045677","6",32362678,"R","BTNL2","NM_019602","Body","","","BTNL2","ENST00000429232.2","3'UTR","BTNL2","ENST00000429232.2","3'UTR","",NA,"",NA,"",NA,"","","BTNL2","NM_019602","Body"
"174","cg09938016","2",71158623,"F","VAX2","NM_012476","Body","","","snoU13","ENST00000459218.1","TSS1500","snoU13","ENST00000459218.1","TSS1500","chr2:71158545-71158975",3,"",NA,"",NA,"","","VAX2","NM_012476","Body"
"175","cg24715298","22",20303691,"R","DGCR6L","NM_033257","Body","chr22:20307109-20308026","N_Shelf","","","","","","","",NA,"chr22:20299739-20306513",6,"",NA,"","","DGCR6L","NM_033257","Body"
"176","cg26970847","19",57702793,"R","ZNF264","NM_003417","TSS200","chr19:57702696-57703425","Island","ZNF264","ENST00000536056.1","TSS1500","ZNF264","ENST00000536056.1","TSS1500","chr19:57702720-57702955",3,"",NA,"",NA,"","","ZNF264","NM_003417","TSS200"
"177","cg07106881","4",1004554,"R","FGFRL1","NM_001004358","TSS1500","chr4:1003106-1005455","Island","FGFRL1","ENST00000512562.1","5'UTR","FGFRL1","ENST00000512562.1","5'UTR","chr4:1002900-1004795",3,"",NA,"",NA,"","","FGFRL1","NM_001004358","TSS1500"
"178","cg12175729","8",140715540,"R","KCNK9","NM_016601","TSS1500","chr8:140714585-140718259","Island","KCNK9","ENST00000522317.1","TSS1500","KCNK9","ENST00000522317.1","TSS1500","chr8:140712825-140716155",3,"",NA,"",NA,"","","KCNK9","NM_016601","TSS1500"
"179","cg05815920","10",103880348,"R","LDB1","NM_001113407","TSS200","chr10:103879633-103880628","Island","LDB1","ENST00000490751.1","TSS200","LDB1","ENST00000490751.1","TSS200","chr10:103879145-103880655",3,"",NA,"",NA,"high-CpG:103869921-103870344","","LDB1","NM_001113407","TSS200"
"180","cg18458509","11",2920189,"F","SLC22A18AS","NM_007105","Body","chr11:2923301-2923817","N_Shelf","SLC22A18","ENST00000347936.2","TSS1500","SLC22A18","ENST00000347936.2","TSS1500","chr11:2919885-2920235",3,"",NA,"",NA,"","chr11:2919958-2919958","SLC22A18AS","NM_007105","Body"
"181","cg23954636","4",89618982,"R","NAP1L5","NM_153757","1stExon","","","NAP1L5","ENST00000323061.5","1stExon","NAP1L5","ENST00000323061.5","1stExon","chr4:89618745-89619190",3,"",NA,"",NA,"high-CpG:89837972-89838021","","NAP1L5","NM_153757","1stExon"
"182","cg25598371","3",193854008,"R","HES1","NM_005524","5'UTR","chr3:193854575-193856015","N_Shore","HES1","ENST00000232424.3","5'UTR","HES1","ENST00000232424.3","5'UTR","chr3:193853625-193854055",3,"",NA,"",NA,"","","HES1","NM_005524","5'UTR"
"183","cg04953335","19",34160488,"F","CHST8","NM_001127895","5'UTR","","","CHST8","ENST00000434302.1","5'UTR","CHST8","ENST00000434302.1","5'UTR","",NA,"",NA,"",NA,"","","CHST8","NM_001127895","5'UTR"
"184","cg11672054","1",228645482,"F","HIST3H2BB","NM_175055","TSS1500","chr1:228645196-228646434","Island","HIST3H2BB","ENST00000369160.2","TSS1500","HIST3H2BB","ENST00000369160.2","TSS1500","chr1:228644540-228645890",3,"",NA,"",NA,"","","HIST3H2BB","NM_175055","TSS1500"
"185","cg24720192","2",38304189,"R","CYP1B1","NM_000104","TSS1500","chr2:38301276-38304518","Island","CYP1B1","ENST00000407341.1","TSS1500","CYP1B1","ENST00000407341.1","TSS1500","chr2:38302380-38304850",3,"",NA,"",NA,"","","CYP1B1","NM_000104","TSS1500"
"186","cg02877538","11",3013651,"F","NAP1L4","NM_005969","TSS200","chr11:3012799-3014181","Island","NAP1L4","ENST00000399624.3","TSS200","NAP1L4","ENST00000529361.1","TSS200","chr11:3013525-3013770",3,"",NA,"",NA,"","","NAP1L4","NM_005969","TSS200"
"187","cg15839394","11",3013968,"F","NAP1L4","NM_005969","TSS1500","chr11:3012799-3014181","Island","NAP1L4","ENST00000399624.3","TSS1500","NAP1L4","ENST00000430811.1","TSS1500","chr11:3013845-3014515",3,"",NA,"",NA,"","","NAP1L4","NM_005969","TSS1500"
"188","cg26014413","1",3331080,"R","PRDM16","NM_022114","Body","chr1:3331040-3331279","Island","","","","","","","chr1:3331005-3331155",3,"",NA,"",NA,"","","PRDM16","NM_022114","Body"
"189","cg03330552","6",3849028,"R","FAM50B","NM_012135","TSS1500","chr6:3849271-3851048","N_Shore","FAM50B","ENST00000380274.1","TSS1500","FAM50B","ENST00000380274.1","TSS1500","chr6:3848700-3849835",3,"",NA,"",NA,"","","FAM50B","NM_012135","TSS1500"
"190","cg25859670","11",132031417,"F","NTM","NM_001144059","Body","","","","","","NTM","ENST00000498764.1","5'UTR","",NA,"",NA,"",NA,"","","NTM","NM_001144059","Body"
"191","cg23739335","2",56412361,"R","CCDC85A","NM_001080433","Body","chr2:56410865-56412539","Island","CCDC85A","ENST00000407862.1","5'UTR","CCDC85A","ENST00000407862.1","5'UTR","chr2:56411285-56412750",3,"",NA,"",NA,"","","CCDC85A","NM_001080433","Body"
"192","cg12660315","5",5288155,"F","ADAMTS16","NM_139056","Body","","","","","","ADAMTS16","ENST00000433402.2","5'UTR","",NA,"chr5:5288133-5289639",5,"",NA,"","","ADAMTS16","NM_139056","Body"
"193","cg02097144","7",78280216,"R","MAGI2","NM_012301","Body","","","MAGI2","ENST00000536571.1","5'UTR","MAGI2","ENST00000536571.1","5'UTR","",NA,"",NA,"",NA,"","","MAGI2","NM_012301","Body"
"194","cg09887284","12",54388147,"R","","","","chr12:54387825-54388732","Island","HOXC9","ENST00000504557.1","TSS1500","HOXC9","ENST00000504557.1","TSS1500","chr12:54387740-54390415",3,"",NA,"",NA,"","","HOXC9","ENST00000504557.1","TSS1500"
"195","cg25796439","20",13200939,"F","ISM1","NM_080826","TSS1500","chr20:13200670-13202616","Island","ISM1","ENST00000262487.3","TSS1500","ISM1","ENST00000262487.3","TSS1500","chr20:13200665-13201130",3,"",NA,"",NA,"high-CpG:13148870-13149049","","ISM1","NM_080826","TSS1500"
